
일본어로 B-LANG
당신 B-WORD
상태가 I-WORD
괜찮나요0 I-WORD
뭐라고 O
하는지 O
알려줄래 O

맑은 B-WORD
공기 I-WORD
스페인어 B-LANG
번역 O
해줘 O

하늘이 B-WORD
맑니 I-WORD
무슨 O
말인지 O
중국어 B-LANG
번역해줘 O

파란 B-WORD
하늘 I-WORD
무슨 O
말인지 O
영어 B-LANG
번역해줘 O

일본어로 B-LANG
당신 B-WORD
상태가 I-WORD
괜찮나요0 I-WORD
뭐라고 O
하는지 O
알려줄래 O

맑은 B-WORD
공기 I-WORD
스페인어 B-LANG
번역 O
해줘 O

하늘이 B-WORD
맑니 I-WORD
무슨 O
말인지 O
중국어 B-LANG
번역해줘 O

파란 B-WORD
하늘 I-WORD
무슨 O
말인지 O
영어 B-LANG
번역해줘 O

일본어로 B-LANG
당신 B-WORD
상태가 I-WORD
괜찮나요0 I-WORD
뭐라고 O
하는지 O
알려줄래 O

맑은 B-WORD
공기 I-WORD
스페인어 B-LANG
번역 O
해줘 O

하늘이 B-WORD
맑니 I-WORD
무슨 O
말인지 O
중국어 B-LANG
번역해줘 O

파란 B-WORD
하늘 I-WORD
무슨 O
말인지 O
영어 B-LANG
번역해줘 O

일본어로 B-LANG
당신 B-WORD
상태가 I-WORD
괜찮나요0 I-WORD
뭐라고 O
하는지 O
알려줄래 O

맑은 B-WORD
공기 I-WORD
스페인어 B-LANG
번역 O
해줘 O

하늘이 B-WORD
맑니 I-WORD
무슨 O
말인지 O
중국어 B-LANG
번역해줘 O

파란 B-WORD
하늘 I-WORD
무슨 O
말인지 O
영어 B-LANG
번역해줘 O

일본어로 B-LANG
당신 B-WORD
상태가 I-WORD
괜찮나요0 I-WORD
뭐라고 O
하는지 O
알려줄래 O

맑은 B-WORD
공기 I-WORD
스페인어 B-LANG
번역 O
해줘 O

하늘이 B-WORD
맑니 I-WORD
무슨 O
말인지 O
중국어 B-LANG
번역해줘 O

파란 B-WORD
하늘 I-WORD
무슨 O
말인지 O
영어 B-LANG
번역해줘 O

일본어로 B-LANG
당신 B-WORD
상태가 I-WORD
괜찮나요0 I-WORD
뭐라고 O
하는지 O
알려줄래 O

맑은 B-WORD
공기 I-WORD
스페인어 B-LANG
번역 O
해줘 O

하늘이 B-WORD
맑니 I-WORD
무슨 O
말인지 O
중국어 B-LANG
번역해줘 O

파란 B-WORD
하늘 I-WORD
무슨 O
말인지 O
영어 B-LANG
번역해줘 O

일본어로 B-LANG
당신 B-WORD
상태가 I-WORD
괜찮나요0 I-WORD
뭐라고 O
하는지 O
알려줄래 O

맑은 B-WORD
공기 I-WORD
스페인어 B-LANG
번역 O
해줘 O

하늘이 B-WORD
맑니 I-WORD
무슨 O
말인지 O
중국어 B-LANG
번역해줘 O

파란 B-WORD
하늘 I-WORD
무슨 O
말인지 O
영어 B-LANG
번역해줘 O

일본어로 B-LANG
당신 B-WORD
상태가 I-WORD
괜찮나요0 I-WORD
뭐라고 O
하는지 O
알려줄래 O

맑은 B-WORD
공기 I-WORD
스페인어 B-LANG
번역 O
해줘 O

하늘이 B-WORD
